Num,TS1_Ori
0,-110.0
1,-110.0
2,-110.0
3,-110.0
4,-110.0
0,-110.0
1,-110.0
2,-110.0
0,-110.0
1,-110.0
2,-110.0
3,-110.0
4,-110.0
5,-110.0
6,-110.0
7,-110.0
8,-110.0
9,-110.0
0,-110.0
1,-110.0
0,-110.0
1,-110.0
2,-110.0
3,-110.0
4,-110.0
5,-110.0
6,-110.0
7,-110.0
8,-110.0
9,-110.0
10,-110.0
11,-110.0
12,-110.0
13,-110.0
14,-110.0
15,-110.0
16,-110.0
17,-110.0
18,-110.0
19,-110.0
0,-110.0
0,-110.0
0,-110.0
1,-110.0
0,-110.0
1,-110.0
2,-110.0
3,-110.0
4,-110.0
5,-110.0
6,-110.0
7,-110.0
8,-110.0
9,-110.0
10,-110.0
11,-110.0
12,-110.0
13,-110.0
14,-110.0
15,-110.0
16,-110.0
17,-110.0
18,-110.0
19,-110.0
20,-110.0
21,-110.0
0,-110.0
