Time,TS1_CRIW,TS2_CRIW,TS3_CRIW,TS4_CRIW,TS5_CRIW
142,0.337,0.543,0.677,0.309,0.438
143,0.337,0.543,0.677,0.309,0.438
144,0.337,0.543,0.677,0.309,0.438
145,0.337,0.543,0.677,0.309,0.438
146,0.337,0.543,0.677,0.309,0.438
147,0.337,0.543,0.677,0.309,0.438
148,0.337,0.543,0.705,0.266,0.438
149,0.337,0.544,0.742,0.418,0.44
150,0.337,0.544,0.742,0.418,0.44
151,0.337,0.544,0.742,0.418,0.44
152,0.337,0.544,0.742,0.418,0.44
153,0.337,0.544,0.742,0.419,0.44
154,0.337,0.549,0.71,0.266,0.439
155,0.337,0.549,0.71,0.266,0.439
156,0.337,0.549,0.71,0.266,0.439
