Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,0.07406178082419501,-0.024310570147463295,-0.013003294213334016,0.07794967094058726,360490.0,6920045.0,-657.0847216432724
1,0.08711013709216786,-0.06366348158280744,0.0019715981699874874,0.10789446172747116,360490.0,6920045.0,-657.0892185667008
2,-0.030614692368544638,-0.05512830834959459,0.02149547455005063,0.06305862169686717,360490.0,6920046.0,-657.0863604965414
3,-0.15195521658824873,-0.015621245242982695,0.05347958869514002,0.15275605111197066,360490.0,6920046.0,-657.0864573477288
4,-0.13491395448909316,0.018642290583557042,0.08634705666729303,0.13619585204435147,360490.0,6920046.0,-657.0840618327089
