Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.1664040040986
1,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16997409958609
2,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12844160694273
3,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.1399536486071
4,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12427932237925
5,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13876090503739
6,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.1214901261136
7,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16013188770238
8,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12759088317098
9,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13034133218717
10,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16268064679072
11,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16883712061028
12,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12814840504844
13,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16371911922926
14,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13033074382535
15,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16318233369262
16,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16573878281783
17,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13399718865044
18,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12067083655568
19,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15364001316111
20,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.17006239547811
21,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13158211401577
22,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13245618548983
23,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11778395628089
24,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13033865604349
25,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16713641338693
26,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.14756973493236
27,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.14504874567899
28,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12605334588072
29,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16009061817336
30,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.1360215881411
31,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15922877365942
32,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16586172366459
33,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.11919514390317
34,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.14239351291073
35,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16611862655259
36,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.1712649295992
37,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15250901163844
38,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15834587085992
39,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.16307430004564
40,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13185449864237
41,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12881443352919
42,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12258981025792
43,0.0,0.0,0.0,0.0,363075.0,6921812.0,112.16930016657625
44,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12675167331369
45,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.15420571932508
46,0.0,0.0,0.0,0.0,363076.0,6921812.0,112.14919774195528
47,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.129155710625
48,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.13889421678387
49,0.0,0.0,0.0,0.0,363076.0,6921813.0,112.12269878088219
