Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.189304556535
1,0.0,0.0,0.0,0.0,359023.0,6921178.0,-604.1866190842566
2,-4.547473508864641e-12,0.0,0.0,4.547473508864641e-12,359024.0,6921179.0,-604.1876245312399
3,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1888727410486
4,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.191428414706
5,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1942695151415
6,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1934185499223
7,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1928340048416
8,0.0,0.0,0.0,0.0,359023.0,6921178.0,-604.1863828950942
9,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.193865903773
10,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1922861743806
11,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.190634542284
12,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1875703464423
13,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1878595600381
14,0.0,0.0,0.0,0.0,359023.0,6921178.0,-604.1858208004802
15,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1936080605195
16,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1906336451711
17,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1872696098474
18,0.0,0.0,0.0,0.0,359023.0,6921178.0,-604.186584127005
19,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1931608037278
20,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1892825372779
21,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1917605000274
22,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1898985182178
23,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1896242949845
24,0.0,0.0,0.0,0.0,359023.0,6921178.0,-604.1860693231372
25,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1926663016262
26,0.0,0.0,0.0,0.0,359024.0,6921179.0,-604.1906821009366
