Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,-0.45352093895417056,-0.04698938305921274,0.032095234076336965,0.4559487297823714,361936.0,6920425.0,84.07078903217842
1,-0.37145826266169024,-0.025291751903750992,0.07628899937728306,0.3723182961042905,361936.0,6920425.0,84.05733961191567
2,0.0193155520446453,0.001030687951129039,0.056748843171590124,0.019343031521506755,361936.0,6920425.0,84.06062801566662
3,0.4343523347461087,0.019082605570588385,-0.012392782286667625,0.43477131521612405,361935.0,6920425.0,84.07665740180613
4,0.5556200241699116,0.02476682972485378,-0.07817553030740498,0.5561717424619782,361935.0,6920425.0,84.08226142285767
5,0.27233659951434674,0.02153467611776705,-0.11009738354090359,0.273186686554332,361936.0,6920426.0,84.05877768677806
