Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,-0.0031472075534111355,0.014861330500934855,-0.006916799613279068,0.015190920302676356,359023.0,6921178.0,-604.1870595859576
1,0.027769315320256283,0.03148771222186042,0.0072040018645225246,0.04198345977075399,359024.0,6921179.0,-604.1919072559816
2,-0.0062351047881747945,0.0424142188148835,0.023842581860193945,0.04287006519001735,359024.0,6921179.0,-604.1893990514355
3,-0.07865025836963468,0.03349858486217272,0.04361048063003636,0.0854869482984302,359024.0,6921178.0,-604.1853348678603
4,-0.11806301725300727,0.0008857203556544846,0.06101733239788132,0.11806633958682854,359024.0,6921178.0,-604.1845070908848
5,-0.06747220394117903,-0.041631668391346466,0.06508108995433304,0.07928236952644069,359024.0,6921179.0,-604.185157830229
